slug,display_name,industry_slug,logo_url,hq_location,size_bucket
google,Google,big-tech,https://logo.clearbit.com/google.com,"Mountain View, CA",big-tech
meta,Meta,big-tech,https://logo.clearbit.com/meta.com,"Menlo Park, CA",big-tech
apple,Apple,big-tech,https://logo.clearbit.com/apple.com,"Cupertino, CA",big-tech
microsoft,Microsoft,big-tech,https://logo.clearbit.com/microsoft.com,"Redmond, WA",big-tech
amazon,Amazon,e-commerce,https://logo.clearbit.com/amazon.com,"Seattle, WA",big-tech
netflix,Netflix,entertainment,https://logo.clearbit.com/netflix.com,"Los Gatos, CA",big-tech
nvidia,Nvidia,semiconductors,https://logo.clearbit.com/nvidia.com,"Santa Clara, CA",big-tech
tesla,Tesla,mobility,https://logo.clearbit.com/tesla.com,"Palo Alto, CA",big-tech
anthropic,Anthropic,ai-research,https://logo.clearbit.com/anthropic.com,"San Francisco, CA",mid-market
openai,OpenAI,ai-research,https://logo.clearbit.com/openai.com,"San Francisco, CA",mid-market
deepmind,DeepMind,ai-research,https://logo.clearbit.com/deepmind.com,"London, UK",mid-market
scale-ai,Scale AI,ai-research,https://logo.clearbit.com/scale.com,"San Francisco, CA",mid-market
stripe,Stripe,fintech,https://logo.clearbit.com/stripe.com,"San Francisco, CA",mid-market
plaid,Plaid,fintech,https://logo.clearbit.com/plaid.com,"San Francisco, CA",mid-market
brex,Brex,fintech,https://logo.clearbit.com/brex.com,"San Francisco, CA",mid-market
ramp,Ramp,fintech,https://logo.clearbit.com/ramp.com,"New York, NY",startup
robinhood,Robinhood,fintech,https://logo.clearbit.com/robinhood.com,"Menlo Park, CA",mid-market
coinbase,Coinbase,fintech,https://logo.clearbit.com/coinbase.com,Remote,mid-market
citadel,Citadel,hft-trading,https://logo.clearbit.com/citadel.com,"Chicago, IL",enterprise
jane-street,Jane Street,hft-trading,https://logo.clearbit.com/janestreet.com,"New York, NY",enterprise
two-sigma,Two Sigma,hft-trading,https://logo.clearbit.com/twosigma.com,"New York, NY",enterprise
hudson-river,Hudson River Trading,hft-trading,https://logo.clearbit.com/hudson-trading.com,"New York, NY",mid-market
de-shaw,D.E. Shaw,hft-trading,https://logo.clearbit.com/deshaw.com,"New York, NY",enterprise
notion,Notion,startup-tech,https://logo.clearbit.com/notion.so,"San Francisco, CA",startup
vercel,Vercel,startup-tech,https://logo.clearbit.com/vercel.com,"San Francisco, CA",startup
linear,Linear,startup-tech,https://logo.clearbit.com/linear.app,"San Francisco, CA",startup
airbnb,Airbnb,mobility,https://logo.clearbit.com/airbnb.com,"San Francisco, CA",enterprise
uber,Uber,mobility,https://logo.clearbit.com/uber.com,"San Francisco, CA",enterprise
lyft,Lyft,mobility,https://logo.clearbit.com/lyft.com,"San Francisco, CA",mid-market
