student_hash,company_slug,university_slug,role_title,role_category,year,season,source
4d7b75af551f5ed8,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
7653840631af0f99,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
0914745721a9d613,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
112c9663a68cad39,google,stanford,Product Manager Intern,PM,2024,Summer,synthetic
d52497676e0f3d46,google,stanford,Product Manager Intern,PM,2024,Summer,synthetic
7182f43f68cf5307,google,stanford,Data Science Intern,Data,2024,Summer,synthetic
6fd3744a6531b25c,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
108c2715319dee51,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
6b2d84ae6bcd8770,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
bec6d9c05e05fee2,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
321884cd36ca9d1c,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
16f5c940c4214540,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
94906d63d6b0fbf4,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
d46d0679b9bdb6b8,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
2085bb3f753d3455,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
04d92a354eb28a74,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
77cf3dfbe3533152,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
af7d4dcb9e19f329,google,stanford,Data Science Intern,Data,2024,Summer,synthetic
9e5f9c03d3af31b2,google,stanford,Software Engineer Intern,SWE,2024,Summer,synthetic
1717e2c190a21165,google,uc-berkeley,Product Manager Intern,PM,2024,Summer,synthetic
65c4e3c22318fcf3,google,uc-berkeley,Software Engineer Intern,SWE,2024,Summer,synthetic
69784d732cfbe23b,google,uc-berkeley,Software Engineer Intern,SWE,2024,Summer,synthetic
afd3c4481ce4c7be,google,uc-berkeley,Research Intern,Research,2024,Summer,synthetic
9f64626d322dafab,google,uc-berkeley,Software Engineer Intern,SWE,2024,Summer,synthetic
